Time Stamp,Inlet Number,T (degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Latitude,Longitude
06/26/2024 13:45:40.236,0,35.6211,6.51798,23199.8,13.3024,0,-1,12401,14745,585,82,No Data,No Data
06/26/2024 13:45:41.260,0,35.6217,6.51985,23201.4,13.3887,0,-1,12389,14740,581,82,No Data,No Data
06/26/2024 13:45:42.284,0,35.6217,6.6573,23237.8,13.5066,0,-1,12389,14741,561,82,No Data,No Data
06/26/2024 13:45:43.308,0,35.6222,7.02252,23348.7,13.9787,0,-1,12401,14745,546,82,No Data,No Data
06/26/2024 13:45:44.332,0,35.6226,7.30276,23503.5,14.4679,0,-1,12411,14734,556,82,No Data,No Data
06/26/2024 13:45:45.356,0,35.6237,7.45834,23680.4,13.3631,0,-1,12411,14717,577,82,No Data,No Data
06/26/2024 13:45:46.380,0,35.6242,7.54306,23807.7,14.0151,0,-1,12412,14708,598,82,No Data,No Data
06/26/2024 13:45:47.404,0,35.6243,7.57809,23938.7,13.2774,0,-1,12406,14742,602,82,No Data,No Data
06/26/2024 13:45:48.428,0,35.6250,7.59217,24015.9,13.7678,0,-1,12390,14754,586,82,No Data,No Data
06/26/2024 13:45:49.452,0,35.6255,7.60686,24121.6,13.044,0.122171,-1,12391,14745,559,82,No Data,No Data
06/26/2024 13:45:50.476,0,35.6263,7.621,24200.1,13.4198,0.0754423,-1,12406,14743,545,82,No Data,No Data
06/26/2024 13:45:51.500,0,35.6268,7.63717,24296.6,13.5962,0.0731775,-1,12411,14735,548,82,No Data,No Data
06/26/2024 13:45:52.524,0,35.6272,7.66925,24384.1,13.449,0.0433551,-1,12411,14710,573,82,No Data,No Data
06/26/2024 13:45:53.548,0,35.6274,7.69567,24464.8,14.652,0.184366,-1,12412,14723,594,82,No Data,No Data
06/26/2024 13:45:54.572,0,35.6281,7.73337,24538.3,13.7618,0.192864,-1,12409,14723,602,82,No Data,No Data
06/26/2024 13:45:55.596,0,35.6285,7.76732,24621.5,14.2658,0.255661,-1,12396,14750,590,82,No Data,No Data
06/26/2024 13:45:56.620,0,35.6294,7.81297,24675.9,13.1857,0.171981,-1,12394,14749,550,82,No Data,No Data
06/26/2024 13:45:57.644,0,35.6296,7.8429,24741.9,13.9934,0.204519,-1,12406,14755,541,82,No Data,No Data
06/26/2024 13:45:58.668,0,35.6305,7.88182,24787,14.3978,0.269364,-1,12406,14755,541,82,No Data,No Data
06/26/2024 13:45:59.692,0,35.6306,7.909,24852.6,13.5797,0.244032,-1,12411,14735,541,82,No Data,No Data
06/26/2024 13:46:00.716,0,35.6316,7.94147,24886.4,14.7779,0.318215,-1,12412,14717,561,82,No Data,No Data
06/26/2024 13:46:01.740,0,35.6315,7.96632,24943.4,14.2444,0.349542,-1,12412,14719,577,82,No Data,No Data
06/26/2024 13:46:02.764,0,35.6320,7.99259,24984,14.6756,0.398204,-1,12412,14717,590,82,No Data,No Data
06/26/2024 13:46:03.788,0,35.6319,8.01664,25035.6,15.4666,0.446496,-1,12411,14734,598,82,No Data,No Data
06/26/2024 13:46:04.812,0,35.6327,8.03554,25065,14.0984,0.449335,-1,12404,14744,595,82,No Data,No Data
06/26/2024 13:46:05.836,0,35.6328,8.04898,25115.2,13.3513,0.393897,-1,12412,14746,587,82,No Data,No Data
06/26/2024 13:46:06.860,0,35.6329,8.06998,25139.4,13.2377,0.334147,-1,12411,14738,582,82,No Data,No Data
06/26/2024 13:46:07.884,0,35.6333,8.08088,25170.7,14.335,0.353673,-1,12411,14744,567,82,No Data,No Data
06/26/2024 13:46:08.908,0,35.6338,8.08818,25201.2,13.8008,0.342279,-1,12411,14744,567,82,No Data,No Data
06/26/2024 13:46:09.932,0,35.6339,8.10259,25230.1,14.0198,0.344422,-1,12411,14755,557,82,No Data,No Data
06/26/2024 13:46:10.956,0,35.6346,8.10968,25254.3,15.2781,0.340437,-1,12402,14738,558,82,No Data,No Data
06/26/2024 13:46:11.980,0,35.6351,8.12283,25278.1,14.7887,0.333492,-1,12390,14742,555,82,No Data,No Data
06/26/2024 13:46:13.004,0,35.6355,8.12403,25320.8,15.174,0.358482,-1,12393,14731,555,82,No Data,No Data
06/26/2024 13:46:14.028,0,35.6358,8.13395,25322.2,13.598,0.372316,-1,12394,14722,559,82,No Data,No Data
06/26/2024 13:46:15.052,0,35.6361,8.13903,25344.1,13.8342,0.453857,-1,12407,14708,566,82,No Data,No Data
06/26/2024 13:46:16.076,0,35.6362,8.1409,25369,14.0996,0.414839,-1,12413,14727,581,82,No Data,No Data
06/26/2024 13:46:17.100,0,35.6369,8.14393,25380.3,14.5747,0.453554,-1,12414,14724,591,83,No Data,No Data
06/26/2024 13:46:18.124,0,35.6370,8.14274,25401.7,14.2179,0.411646,-1,12414,14724,591,83,No Data,No Data
06/26/2024 13:46:19.148,0,35.6374,8.14321,25418.6,13.9499,0.388987,-1,12414,14750,595,83,No Data,No Data
06/26/2024 13:46:20.172,0,35.6378,8.14767,25440.3,14.603,0.329633,-1,12413,14753,566,83,No Data,No Data
06/26/2024 13:46:21.196,0,35.6383,8.14901,25449.3,15.1914,0.307287,-1,12411,14752,560,83,No Data,No Data
06/26/2024 13:46:22.220,0,35.6385,8.14311,25468.1,13.7628,0.22915,-1,12408,14742,556,83,No Data,No Data
06/26/2024 13:46:23.244,0,35.6379,8.14991,25460.2,14.126,0.139751,-1,12403,14755,549,83,No Data,No Data
06/26/2024 13:46:24.268,0,35.6386,8.14216,25470.8,13.6919,0.194023,-1,12401,14750,542,83,No Data,No Data
06/26/2024 13:46:25.292,0,35.6392,8.14189,25480.5,14.0096,0.137136,-1,12391,14730,542,83,No Data,No Data
06/26/2024 13:46:26.316,0,35.6398,8.13181,25494.9,14.2195,0.164641,-1,12395,14733,551,83,No Data,No Data
06/26/2024 13:46:27.340,0,35.6395,8.13552,25487.9,14.3053,0.0147938,-1,12402,14708,562,83,No Data,No Data
06/26/2024 13:46:28.364,0,35.6402,8.12953,25504.4,13.5562,-0.0535615,-1,12409,14723,572,83,No Data,No Data
06/26/2024 13:46:29.388,0,35.6402,8.12587,25518.7,13.952,-0.0379226,-1,12404,14711,577,83,No Data,No Data
06/26/2024 13:46:30.412,0,35.6402,8.1187,25521.6,13.6864,-0.181168,-1,12412,14721,586,83,No Data,No Data
06/26/2024 13:46:31.436,0,35.6407,8.1094,25512.8,14.0111,-0.102184,-1,12412,14707,586,83,No Data,No Data
