Time Stamp,Inlet Number,T (degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Latitude,Longitude
06/26/2024 13:52:56.358,0,35.6317,1.86833,18395.1,11.2813,0,-1,12415,14728,526,83,No Data,No Data
06/26/2024 13:52:57.484,0,35.6322,1.86647,18370.3,11.7082,0,-1,12417,14759,502,83,No Data,No Data
06/26/2024 13:52:58.508,0,35.6318,1.87048,18353.8,11.4038,0,-1,12417,14759,502,83,No Data,No Data
06/26/2024 13:52:59.532,0,35.6316,1.86759,18347.6,10.6705,0,-1,12411,14751,499,83,No Data,No Data
06/26/2024 13:53:00.556,0,35.6316,1.86569,18361.7,10.9158,0,-1,12406,14731,506,83,No Data,No Data
06/26/2024 13:53:01.580,0,35.6317,1.86729,18354.5,11.9726,0,-1,12417,14726,509,83,No Data,No Data
06/26/2024 13:53:02.604,0,35.6319,1.86811,18344.6,11.5578,0,-1,12409,14746,505,83,No Data,No Data
06/26/2024 13:53:03.628,0,35.6312,1.86715,18325.8,12.1443,0,-1,12409,14757,492,83,No Data,No Data
06/26/2024 13:53:04.652,0,35.6309,1.86918,18319,11.5476,0,-1,12418,14754,506,83,No Data,No Data
06/26/2024 13:53:05.676,0,35.6309,1.87186,18329.5,11.4574,0.0210845,-1,12406,14759,489,83,No Data,No Data
06/26/2024 13:53:06.700,0,35.6309,1.87044,18315.3,11.8568,0.114843,-1,12416,14712,513,83,No Data,No Data
06/26/2024 13:53:07.724,0,35.6312,1.87324,18314.6,11.5151,0.0966221,-1,12405,14763,495,83,No Data,No Data
06/26/2024 13:53:08.748,0,35.6311,1.86848,18301.3,12.3853,0.0598769,-1,12405,14763,495,83,No Data,No Data
06/26/2024 13:53:09.772,0,35.6307,1.86454,18301.4,12.6683,-0.21657,-1,12410,14746,489,83,No Data,No Data
06/26/2024 13:53:10.796,0,35.6308,1.86798,18313.5,12.4722,-0.221798,-1,12415,14709,514,83,No Data,No Data
06/26/2024 13:53:11.820,0,35.6309,1.86661,18298.2,12.5531,-0.276407,-1,12400,14750,490,83,No Data,No Data
06/26/2024 13:53:12.844,0,35.6309,1.86741,18300.5,11.2926,-0.249437,-1,12413,14753,484,83,No Data,No Data
06/26/2024 13:53:13.868,0,35.6310,1.86977,18295.7,11.6236,-0.25316,-1,12398,14752,493,83,No Data,No Data
06/26/2024 13:53:14.892,0,35.6311,1.86809,18293.8,12.9561,-0.238055,-1,12412,14746,495,83,No Data,No Data
06/26/2024 13:53:15.916,0,35.6305,1.86746,18267.3,11.7449,-0.235308,-1,12416,14725,511,83,No Data,No Data
06/26/2024 13:53:16.940,0,35.6305,1.86916,18279.8,11.306,-0.246842,-1,12415,14716,508,83,No Data,No Data
06/26/2024 13:53:17.964,0,35.6303,1.86564,18269.3,11.5722,-0.216347,-1,12418,14735,493,83,No Data,No Data
06/26/2024 13:53:18.988,0,35.6304,
